"","potID","fullPotID","hostVar","bacteria","Fusarium","microTrt","control","block","bench","ID","Notes","Sample_ID","Ambient.Humidity","Ambient.Pressure","Ambient.Temperature","ECS_tau","ECSt.mAU","FmPrime","FoPrime","Fs","FvP_over_FmP","gH.","kP700","leaf.angle","Leaf.Temperature","Leaf.Temperature.Differential","leaf_thickness","LEF","Light.Intensity..PAR.","NPQt","P700_DIRK_ampl","Phi2","PhiNO","PhiNPQ","PS1.Active.Centers","PS1.Open.Centers","PS1.Over.Reduced.Centers","PS1.Oxidized.Centers","pump","qL","SPAD","test_data_raw_PAM","time","Time.of.Day","tP700","v_initial_P700","vH.","User","Device.ID","Issues","Notes_postMeasure","plant_rep","Day","leafvpd","aVPD","lVPD"
"11","12","N12-B-/-F+","Norm","NO","YES","POS","POS","1","1","2189282"," two leaves;   youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); note cart changed positions at pot12 (watch PAR)","12-1",32.24609,997.64172,32.02,0.0066,0.00028,906.64,194,274,0.786,152.588,-85.12,4.354,27.21,-4.81,0.52,100.89,321.188,0.328,-5e-05,0.698,0.227,0.075,4.832,0.613,0.501,-0.114,"none",0.629,89.222,620,"7/27/2021 12:30",12.5075,-0.0117,0.004256,0.043,"Briana K. Whitaker","52:00:13:65",NA,"","1",2021-07-27,2061.90344189383,3200.45196739247,2061.90344189383
"12","12","N12-B-/-F+","Norm","NO","YES","POS","POS","1","1","2189284"," two leaves;   youngest fully extended leaf, 3rd ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","12-4",32.30078,997.56421,32.29,0.0055,0.00031,780.17,171,231.67,0.781,181.954,-712.3688,0.913,27.93,-4.36,0.59,96.58,305.307,0.37,5e-05,0.703,0.217,0.08,4.158,0.835,0.326,-0.161,"none",0.665,77.372,620,"7/27/2021 12:36",12.60333333,-0.0014,-0.0356184,0.056,"Briana K. Whitaker","52:00:13:65",NA,"","4",2021-07-27,2189.43818245015,3246.81701036884,2189.43818245015
"13","13","N13-Y2-F+","Norm","Y2","YES","Y2","NO","1","1","2189287"," two leaves;   youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","13-3",34.11426,996.84875,30.74,0.0096,0.00038,795.22,176,257.33,0.779,103.741,69.2669,5.118,26.53,-4.21,0.47,91.62,301.181,0.387,0.00021,0.676,0.233,0.09,5.856,0.503,0.571,-0.074,"none",0.594,90.832,620,"7/27/2021 12:49",12.82222222,0.0144,0.014546,0.039,"Briana K. Whitaker","52:00:13:65",NA,"","3",2021-07-27,1946.36890339197,2894.76020100669,1946.36890339197
"14","13","N13-Y2-F+","Norm","Y2","YES","Y2","NO","1","1","2189286"," two leaves;   youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","13-2",33.72656,996.94781,30.96,0.0046,0.00029,851.25,172,256.67,0.798,218.074,542.0803,2.651,26.47,-4.49,0.39,94.04,299.383,0.236,0.00017,0.698,0.244,0.058,3.964,0.771,0.421,-0.192,"none",0.587,64.338,620,"7/27/2021 12:45",12.76638889,0.0018,0.0921537,0.063,"Briana K. Whitaker","52:00:13:65",NA,"","2",2021-07-27,1932.65655903177,2948.41373431026,1932.65655903177
"15","13","N13-Y2-F+","Norm","Y2","YES","Y2","NO","1","1","2189285"," two leaves;   youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","13-1",32.47168,997.14923,31.51,0.0064,0.00029,864.48,177,262.33,0.795,157.337,188.2689,5.563,26.35,-5.16,0.73,91.43,291.495,0.256,0.00016,0.697,0.242,0.062,6.066,0.27,0.625,0.105,"none",0.591,97.061,620,"7/27/2021 12:43",12.72472222,0.0053,0.030123,0.046,"Briana K. Whitaker","52:00:13:65",NA,"","1",2021-07-27,1918.65805675138,3099.31343791939,1918.65805675138
"16","14","A14-W14-F+","Alsen","W14","YES","W14","NO","1","1","2189288"," two leaves;   youngest fully extended leaf, flag leaf, 5th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","14-1",34.72656,996.6911,30.51,0.0075,0.00049,659.12,122,184.33,0.815,134.127,59.4233,2.24,26.53,-3.98,0.43,100.1,308.941,0.108,0.00024,0.72,0.252,0.027,3.345,0.605,0.313,0.082,"none",0.585,44.036,620,"7/27/2021 12:54",12.91222222,0.0168,0.0142616,0.066,"Briana K. Whitaker","52:00:13:65",NA,"","1",2021-07-27,1939.30544484324,2830.56872725477,1939.30544484324
"17","14","A14-W14-F+","Alsen","W14","YES","W14","NO","1","1","2189289"," two leaves;   youngest fully extended leaf, flag leaf, 5th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","14-2",34.63379,996.59119,30.71,0.0064,4e-04,689.86,128,221.33,0.814,156.568,169.5276,3.571,26.53,-4.18,0.26,100.01,327.302,0.112,0.00028,0.679,0.289,0.032,2.756,1.13,-0.037,-0.093,"none",0.482,43.318,620,"7/27/2021 12:57",12.95055556,0.0059,0.0474677,0.063,"Briana K. Whitaker","52:00:13:65",NA,"","2",2021-07-27,1926.13631013467,2867.03922442997,1926.13631013467
"18","14","A14-W14-F+","Alsen","W14","YES","W14","NO","1","1","2189290"," two leaves;   youngest fully extended leaf, flag leaf, 5th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); skipped 14.3","14-4",34.38281,996.63361,30.84,0.0073,0.00044,663.09,125,212.67,0.811,136.672,207.6998,2.865,26.57,-4.27,0.42,98.91,323.707,0.134,0.00025,0.679,0.283,0.038,3.168,0.914,0.096,-0.009,"none",0.492,44.669,620,"7/27/2021 12:59",12.99333333,0.0048,0.051925,0.06,"Briana K. Whitaker","52:00:13:65",NA,"","4",2021-07-27,1934.05431795233,2899.39276455257,1934.05431795233
"19","15","A15-Q22-F+","Alsen","Q22","YES","Q22","NO","1","1","2189293"," two leaves;   youngest fully extended leaf, flag leaf, 5th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); skipped 15.3, was transplant","15-4",34.88281,996.70135,30.56,0.0083,0.00037,806.34,168,254,0.792,120.326,-162.4021,5.831,26.61,-3.95,0.34,101.08,327.917,0.284,-7e-05,0.685,0.245,0.07,4.521,0.837,0.255,-0.092,"none",0.572,67.618,620,"7/27/2021 13:07",13.13111111,-0.0062,0.0113681,0.045,"Briana K. Whitaker","52:00:13:65",NA,"","4",2021-07-27,1944.42228941235,2831.84399972381,1944.42228941235
"20","15","A15-Q22-F+","Alsen","Q22","YES","Q22","NO","1","1","2189292"," two leaves;   youngest fully extended leaf, flag leaf, 5th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","15-2",34.64062,996.70349,30.65,0.0061,0.00041,796.91,160,237,0.799,162.799,94.7497,4.685,26.19,-4.46,0.29,100.68,318.244,0.226,0.00019,0.703,0.243,0.055,4.133,0.866,0.261,-0.126,"none",0.593,60.27,620,"7/27/2021 13:05",13.09111111,0.0106,0.0180024,0.067,"Briana K. Whitaker","52:00:13:65",NA,"","2",2021-07-27,1862.87521055187,2856.97268039665,1862.87521055187
"21","15","A15-Q22-F+","Alsen","Q22","YES","Q22","NO","1","1","2189291"," two leaves;   youngest fully extended leaf, flag leaf, 5th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","15-1",34.2832,996.57867,30.77,0.007,0.00049,743.61,146,228.33,0.804,141.901,-2138.7409,2.333,25.87,-4.9,0.33,103.76,332.738,0.192,0.00023,0.693,0.258,0.05,4.265,0.806,0.217,-0.023,"none",0.551,45.08,620,"7/27/2021 13:02",13.04555556,-5e-04,-0.4919104,0.07,"Briana K. Whitaker","52:00:13:65",NA,"","1",2021-07-27,1805.18315039746,2892.26606958049,1805.18315039746
"22","16","N16-B-/-F-","Norm","NO","NO","NEG","NEG","1","1","2189296"," two leaves;   youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","16-3",34.63477,996.20844,31.03,0.0087,3e-04,782.6,159,235.67,0.797,114.791,308.4105,0.178,26.93,-4.1,0.35,97.17,308.914,0.244,0.00011,0.699,0.242,0.059,5.325,0.652,0.49,-0.142,"none",0.592,77.911,620,"7/27/2021 13:16",13.27138889,0.0032,0.0339252,0.034,"Briana K. Whitaker","52:00:13:65",NA,"","3",2021-07-27,1979.92266281682,2919.58320248766,1979.92266281682
"23","16","N16-B-/-F-","Norm","NO","NO","NEG","NEG","1","1","2189295"," two leaves;   youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","16-2",34.51953,996.27673,30.92,0.0141,0.00042,823.67,159,246.33,0.807,70.996,91.6422,0.888,26.67,-4.25,0.45,99.17,314.386,0.167,0.00016,0.701,0.256,0.043,4.682,0.509,0.361,0.13,"none",0.561,79.046,620,"7/27/2021 13:13",13.22916667,0.0109,0.0146628,0.03,"Briana K. Whitaker","52:00:13:65",NA,"","2",2021-07-27,1941.37560564354,2906.52790282508,1941.37560564354
"24","16","N16-B-/-F-","Norm","NO","NO","NEG","NEG","1","1","2189294"," two leaves;   youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","16-1",35.0791,996.47736,30.79,0.0071,0.00042,773.28,156,262.67,0.798,141.381,-20676.5755,2.535,26.15,-4.64,0.4,98.24,330.783,0.233,2e-04,0.66,0.275,0.064,5.683,0.534,0.503,-0.037,"none",0.491,64.317,620,"7/27/2021 13:10",13.18194444,0,-4.1353151,0.059,"Briana K. Whitaker","52:00:13:65",NA,"","1",2021-07-27,1823.51432431734,2860.48750420482,1823.51432431734
"25","17","A17-Y11-F+","Alsen","Y11","YES","Y11","NO","1","1","2189297"," two leaves;   youngest fully extended leaf, flag leaf, 5th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","17-1",34.28418,996.16626,31.27,0.0045,0.00039,636.71,119,172,0.813,222.469,24.7795,3.127,27.11,-4.16,0.26,109.43,333.111,0.122,0.00025,0.73,0.241,0.029,1.865,1.332,-1.243,0.911,"none",0.621,42.709,620,"7/27/2021 13:22",13.36805556,0.0404,0.0061949,0.087,"Briana K. Whitaker","52:00:13:65",NA,"","1",2021-07-27,2011.9171272784,2975.44546625693,2011.9171272784
"26","17","A17-Y11-F+","Alsen","Y11","YES","Y11","NO","1","1","2189299"," two leaves;   youngest fully extended leaf, flag leaf, 5th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","17-3",33.27832,996.22736,31.48,0.0068,0.00036,700.01,136,195,0.806,146.52,84.5662,1.638,27.39,-4.09,0.23,99.41,306.408,0.177,0.00023,0.721,0.237,0.042,3.24,0.793,0.278,-0.072,"none",0.624,48.34,620,"7/27/2021 13:27",13.46111111,0.0118,0.0194502,0.053,"Briana K. Whitaker","52:00:13:65",NA,"","3",2021-07-27,2098.16750688373,3057.10189662341,2098.16750688373
"27","17","A17-Y11-F+","Alsen","Y11","YES","Y11","NO","1","1","2189298"," two leaves;   youngest fully extended leaf, flag leaf, 5th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","17-2",33.62988,996.20502,31.41,0.0058,0.00031,727.8,146,207.33,0.799,171.318,-424.9642,1.97,26.89,-4.52,0.3,102.37,318.164,0.225,-9e-05,0.715,0.233,0.052,4.915,0.86,0.306,-0.167,"none",0.63,63.097,620,"7/27/2021 13:24",13.40888889,-0.0024,0.0382468,0.053,"Briana K. Whitaker","52:00:13:65",NA,"","2",2021-07-27,1983.87441328575,3028.9781793515,1983.87441328575
"28","18","A18-Y2-F+","Alsen","Y2","YES","Y2","NO","1","1","2189301"," two leaves;   youngest fully extended leaf, flag leaf, 5th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); skipped 18.2","18-3",33.88477,995.90216,31.17,0.0082,0.00044,726.63,147,215,0.798,122.177,91.9437,6.215,27.21,-3.96,0.28,100.92,318.55,0.238,0.00029,0.704,0.239,0.057,4.042,0.795,0.26,-0.055,"none",0.604,54.159,620,"7/27/2021 13:34",13.57638889,0.0109,0.0266637,0.054,"Briana K. Whitaker","52:00:13:65",NA,"","3",2021-07-27,2059.54400910372,2976.61858175143,2059.54400910372
"29","18","A18-Y2-F+","Alsen","Y2","YES","Y2","NO","1","1","2189300"," two leaves;   youngest fully extended leaf, flag leaf, 5th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","18-1",33.28125,996.09875,31.36,0.006,0.00032,751.21,151,252,0.799,166.893,109.9418,2.931,26.67,-4.69,0.35,100.19,334.803,0.228,0.00026,0.665,0.273,0.062,5.822,0.692,0.418,-0.111,"none",0.498,69.201,620,"7/27/2021 13:30",13.51166667,0.0091,0.0285849,0.053,"Briana K. Whitaker","52:00:13:65",NA,"","1",2021-07-27,1959.0304846231,3036.28653567279,1959.0304846231
"30","18","A18-Y2-F+","Alsen","Y2","YES","Y2","NO","1","1","2189302"," two leaves;  youngest fully extended leaf, flag leaf, 5th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","18-4",33.88184,995.71204,31.13,0.0062,0.00042,761.49,156,231,0.795,161.475,-7.2249,3.01,27.49,-3.64,0.39,102.04,325.323,0.257,8e-05,0.697,0.241,0.062,5.047,0.803,0.308,-0.111,"none",0.592,70.168,620,"7/27/2021 13:36",13.61361111,-0.1384,-0.000578,0.068,"Briana K. Whitaker","52:00:13:65",NA,"","4",2021-07-27,2122.14939703243,2970.00901755019,2122.14939703243
"31","19","N19-Y2-F+","Norm","Y2","YES","Y2","NO","2","1","2192855"," two leaves;   youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","19-1",42.33984,997.53564,29.1,0.0072,0.00033,806.09,155,234.67,0.808,137.981,81.9246,4.147,27.07,-2.03,0.42,107.2,335.993,0.162,0.00014,0.709,0.251,0.041,5.273,0.742,0.458,-0.2,"none",0.58,68.452,620,"7/28/2021 10:34",10.58138889,0.0122,0.0114694,0.046,"Briana K. Whitaker","52:00:13:65",NA,"","1",2021-07-28,1862.23211832122,2306.50381862156,1862.23211832122
"32","19","N19-Y2-F+","Norm","Y2","YES","Y2","NO","2","1","2192864"," two leaves;   youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","19-2",41.36328,997.383,29.52,0.0073,0.00043,724.16,138,216.33,0.809,136.616,88.1716,2.829,27.35,-2.17,0.4,100.2,317.632,0.149,0.00018,0.701,0.26,0.039,3.261,0.922,0.205,-0.127,"none",0.553,59.922,620,"7/28/2021 10:37",10.62722222,0.0113,0.0158709,0.059,"Briana K. Whitaker","52:00:13:65",NA,"","2",2021-07-28,1919.47714506135,2402.86667192499,1919.47714506135
"33","2","N02-Q22-F+","Norm","Q22","YES","Q22","NO","1","1","2189250","one leaf;  youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","2-2",37.91504,997.198,30.67,0.0066,0.00041,727.08,134,207.67,0.816,152.227,-14.4279,4.702,27.07,-3.6,0.43,108.17,336.659,0.103,-1e-05,0.714,0.259,0.027,3.137,0.92,0.045,0.035,"none",0.565,51.132,620,"7/27/2021 10:41",10.69222222,-0.0693,0.0001443,0.062,"Briana K. Whitaker","52:00:13:65",NA,"","2",2021-07-27,1896.67787546998,2716.93155729409,1896.67787546998
"34","2","N02-Q22-F+","Norm","Q22","YES","Q22","NO","1","1","2189251","one leaf;  youngest fully extended leaf, 3rd ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","2-1",38.77246,997.23767,30.03,0.0073,0.00053,654.64,134,203.33,0.795,137.204,102.1766,5.558,26.99,-3.04,0.56,108.51,349.977,0.256,0.00023,0.689,0.247,0.063,2.967,0.802,0.133,0.065,"none",0.571,51.633,620,"7/27/2021 10:39",10.65083333,0.0098,0.0235006,0.073,"Briana K. Whitaker","52:00:13:65",NA,"","1",2021-07-27,1903.36844559616,2583.39280022195,1903.36844559616
"35","2","N02-Q22-F+","Norm","Q22","YES","Q22","NO","1","1","2189252","one leaf;  youngest fully extended leaf, 3rd or 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","2-3",36.56445,997.23029,30.99,0.007,0.00051,722.75,139,209,0.808,143.251,113.7566,4.013,27.25,-3.74,0.57,117.78,368.105,0.162,0.00018,0.711,0.249,0.04,2.751,1.061,-0.069,0.009,"none",0.585,51.122,620,"7/27/2021 10:44",10.73694444,0.0088,0.0204762,0.073,"Briana K. Whitaker","52:00:13:65",NA,"","3",2021-07-27,1963.99922728628,2826.96923123859,1963.99922728628
"36","20","N20-A30-F+","Norm","A30","YES","A30","NO","2","1","2192867"," two leaves;   youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","20-1",38.24707,997.17847,30.54,0.0062,0.00041,757.08,147,242.67,0.806,161.268,592.4592,7.442,27.61,-2.93,0.36,104.68,342.591,0.176,0.00026,0.679,0.273,0.048,3.329,0.755,0.155,0.09,"none",0.511,61.142,620,"7/28/2021 10:43",10.72777778,0.0017,0.1540394,0.066,"Briana K. Whitaker","52:00:13:65",NA,"","1",2021-07-28,2008.25183141662,2682.48133824165,2008.25183141662
"37","20","N20-A30-F+","Norm","A30","YES","A30","NO","2","1","2192856","two leaves;  youngest fully extended leaf, 4th and 5th[flag] ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","20-2",38.0166,997.2229,30.9,0.005,0.00034,680.37,126,201,0.815,198.239,136.2098,4.395,28.07,-2.83,0.38,104.97,330.866,0.109,0.00013,0.705,0.266,0.029,2.136,1.09,-0.02,-0.07,"none",0.542,47.261,620,"7/28/2021 10:46",10.78027778,0.0073,0.0177073,0.067,"Briana K. Whitaker","52:00:13:65",NA,"","2",2021-07-28,2083.50829329967,2748.17821191948,2083.50829329967
"38","20","N20-A30-F+","Norm","A30","YES","A30","NO","2","1","2192863"," two leaves;   youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","20-3",36.79492,997.18939,31.33,0.0071,0.00035,690.74,130,191,0.812,141.486,26.0722,3.783,28.07,-3.26,0.33,99.85,306.9,0.131,0.00015,0.723,0.244,0.032,2.94,0.763,0.277,-0.04,"none",0.607,54.313,620,"7/28/2021 10:49",10.82861111,0.0384,0.0039108,0.05,"Briana K. Whitaker","52:00:13:65",NA,"","3",2021-07-28,2097.41294699241,2871.50386917929,2097.41294699241
"39","21","A21-A30-F+","Alsen","A30","YES","A30","NO","2","1","2192868"," two leaves;   youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","21-1",36.66016,997.1319,31.42,0.0054,0.00039,700.55,126,189.67,0.82,185.967,371.0003,5.389,27.85,-3.57,0.37,109.16,332.753,0.07,0.00011,0.729,0.253,0.018,3.532,0.933,0.153,-0.086,"none",0.591,49.024,620,"7/28/2021 10:53",10.89583333,0.0027,0.04081,0.073,"Briana K. Whitaker","52:00:13:65",NA,"","1",2021-07-28,2047.20410457535,2892.31897645835,2047.20410457535
"40","21","A21-A30-F+","Alsen","A30","YES","A30","NO","2","1","2192857"," two leaves;   youngest fully extended leaf, 4th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","21-2",36.43262,997.16034,31.55,0.0066,0.00037,745.11,140,222.33,0.812,151.505,-2144.5176,2.205,28.49,-3.06,0.43,103.32,327.052,0.129,0.00018,0.702,0.264,0.034,3.57,0.988,0.175,-0.163,"none",0.544,51.383,620,"7/28/2021 10:56",10.9425,-5e-04,-0.3860132,0.056,"Briana K. Whitaker","52:00:13:65",NA,"","2",2021-07-28,2185.94247968357,2924.12383663132,2185.94247968357
"41","21","A21-A30-F+","Alsen","A30","YES","A30","NO","2","1","2192852","two leaves;  youngest fully extended leaf, flag leaf, 5th ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","21-4",35.58691,997.13647,32.13,0.0064,0.00043,702.01,130,188.67,0.815,156.227,-32.6466,7.652,28.89,-3.24,0.24,111.75,339.708,0.109,0.00014,0.731,0.242,0.026,3.033,0.823,0.188,-0.01,"none",0.618,45.97,620,"7/28/2021 11:00",11.01583333,-0.0306,-0.0045705,0.067,"Briana K. Whitaker","52:00:13:65",NA,"","4",2021-07-28,2260.63479229105,3061.54340700085,2260.63479229105
"42","22","N22-B-/-F-","Norm","NO","NO","NEG","NEG","2","1","2192859"," two leaves;   youngest fully extended leaf, 3rd ""segment"" up from 2nd leaf of tiller (not the leaf near the soil); ","22-1",35.18457,997.229,32.17,0.0082,0.00043,771.09,150,240.67,0.805,122.554,118.8267,8.95,28.31,-3.86,0.63,92.01,297.19,0.179,0.00023,0.688,0.265,0.047,5.543,0.468,0.404,0.128,"none",0.532,74.332,620,"7/28/2021 11:06",11.11083333,0.0084,0.0273301,0.053,"Briana K. Whitaker","52:00:13:65",NA,"","1",2021-07-28,2145.76273598158,3087.6075400774,2145.76273598158
